,id_mutation,date_mutation,prix,type_local,nb_dépendances,surface_réelle,surface_carrez,nb_pièces_principales,prix_au_m2_carrez,prix_au_m2_réel,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,longitude,latitude
64,2018-743637,2018-07-11,129412.0,Appartement,0.0,8.0,39.67,0.0,3262.0,16176.0,14.0,RUE ELZEVIR,3196,75003.0,75103,Paris 3e Arrondissement,75,75103000AO0048,2.362311,48.858615
66,2018-743638,2018-07-18,2311700.0,Appartement,0.0,175.0,170.84,5.0,13531.0,13210.0,66.0,RUE DE LISBONNE,5708,75008.0,75108,Paris 8e Arrondissement,75,75108000CO0044,2.306998,48.877579
67,2018-743639,2018-07-16,408800.0,Appartement,0.0,32.0,32.02,1.0,12767.0,12775.0,11.0,RUE DE BERRI,0904,75008.0,75108,Paris 8e Arrondissement,75,75108000BF0016,2.303752,48.872624
68,2018-743640,2018-07-02,820000.0,Appartement,0.0,67.0,70.03,3.0,11709.0,12239.0,78.0,RUE NOTRE DAME DE NAZARETH,6834,75003.0,75103,Paris 3e Arrondissement,75,75103000AB0111,2.354681,48.86807
70,2018-743641,2018-07-09,1138000.0,Appartement,0.0,83.0,97.11,4.0,11719.0,13711.0,157.0,RUE DU FAUBOURG SAINT HONORE,3518,75008.0,75108,Paris 8e Arrondissement,75,75108000BD0013,2.306373,48.874189
73,2018-743643,2018-07-13,1981150.0,Appartement,0.0,165.0,172.18,4.0,11506.0,12007.0,164.0,RUE DU FAUBOURG SAINT HONORE,3518,75008.0,75108,Paris 8e Arrondissement,75,75108000BE0017,2.309351,48.873827
104,2018-743645,2018-07-12,1638800.0,Appartement,0.0,140.0,120.25,6.0,13628.0,11706.0,27.0,RUE DE BERNE,0900,75008.0,75108,Paris 8e Arrondissement,75,75108000CE0035,2.322525,48.88133
106,2018-743647,2018-07-04,240000.0,Appartement,0.0,25.0,25.4,1.0,9449.0,9600.0,48.0,RUE DE LA BIENFAISANCE,0960,75008.0,75108,Paris 8e Arrondissement,75,75108000CI0117,2.314472,48.876844
107,2018-743648,2018-07-03,150000.0,Appartement,0.0,18.0,,1.0,,8333.0,91.0,RUE QUINCAMPOIX,7970,75003.0,75103,Paris 3e Arrondissement,75,75103000AU0021,2.351081,48.862614
108,2018-743649,2018-07-04,350.0,Appartement,0.0,134.0,,5.0,,3.0,7.0,RUE MARBEUF,5993,75008.0,75108,Paris 8e Arrondissement,75,75108000AP0046,2.301979,48.86773
109,2018-743650,2018-07-11,550000.0,Appartement,0.0,33.0,33.56,1.0,16389.0,16667.0,43.0,RUE BOISSY D ANGLAS,1081,75008.0,75108,Paris 8e Arrondissement,75,75108000BR0043,2.322366,48.870234
111,2018-743652,2018-07-12,211215.0,Appartement,0.0,24.0,20.63,1.0,10238.0,8801.0,15.0,RUE JEAN JACQUES ROUSSEAU,4901,75001.0,75101,Paris 1er Arrondissement,75,75101000AS0012,2.340218,48.862656
112,2018-743653,2018-07-05,279010.0,Appartement,0.0,21.0,21.05,1.0,13255.0,13286.0,1.0,RUE JEAN MERMOZ,4921,75008.0,75108,Paris 8e Arrondissement,75,75108000BH0046,2.310473,48.870036
116,2018-743655,2018-07-18,1200000.0,Appartement,0.0,74.0,83.32,2.0,14402.0,16216.0,45.0,AV HOCHE,4645,75008.0,75108,Paris 8e Arrondissement,75,75108000AX0091,2.299451,48.875257
117,2018-743656,2018-07-11,105000.0,Appartement,0.0,25.0,12.13,1.0,8656.0,4200.0,50.0,RUE NOTRE DAME DE NAZARETH,6834,75003.0,75103,Paris 3e Arrondissement,75,75103000AB0063,2.357892,48.867749
118,2018-743657,2018-07-12,386450.0,Appartement,0.0,26.0,23.46,1.0,16473.0,14863.0,23.0,RUE BAYARD,0746,75008.0,75108,Paris 8e Arrondissement,75,75108000AM0008,2.307452,48.867033
119,2018-743658,2018-07-04,130000.0,Appartement,0.0,16.0,15.7,1.0,8280.0,8125.0,133.0,RUE VIEILLE DU TEMPLE,9783,75003.0,75103,Paris 3e Arrondissement,75,75103000AK0064,2.36381,48.86174
120,2018-743659,2018-07-05,1542000.0,Appartement,0.0,110.0,109.12,3.0,14131.0,14018.0,26.0,RUE DE LA BIENFAISANCE,0960,75008.0,75108,Paris 8e Arrondissement,75,75108000CI0034,2.316682,48.876771
122,2018-743660,2018-07-20,766423.0,Appartement,0.0,75.0,126.99,3.0,6035.0,10219.0,89.0,RUE SAINT HONORE,8635,75001.0,75101,Paris 1er Arrondissement,75,75101000AT0095,2.343417,48.861
123,2018-743660,2018-07-20,633577.0,Appartement,0.0,62.0,,2.0,,10219.0,89.0,RUE SAINT HONORE,8635,75001.0,75101,Paris 1er Arrondissement,75,75101000AT0095,2.343417,48.861
125,2018-743662,2018-07-17,500000.0,Appartement,0.0,46.0,45.98,2.0,10874.0,10870.0,100.0,RUE QUINCAMPOIX,7970,75003.0,75103,Paris 3e Arrondissement,75,75103000AU0030,2.351654,48.862986
126,2018-743663,2018-07-10,300000.0,Appartement,0.0,40.0,38.7,2.0,7752.0,7500.0,11.0,RUE CHARLOT,1880,75003.0,75103,Paris 3e Arrondissement,75,75103000AQ0022,2.36076,48.861523
127,2018-743664,2018-07-11,413438.0,Appartement,0.0,36.0,32.55,2.0,12702.0,11484.0,276.0,RUE SAINT HONORE,8635,75001.0,75101,Paris 1er Arrondissement,75,75101000AX0017,2.333387,48.864577
128,2018-743665,2018-07-12,278750.0,Appartement,0.0,36.0,31.67,2.0,8802.0,7743.0,64.0,RUE DE ROME,8339,75008.0,75108,Paris 8e Arrondissement,75,75108000CE0021,2.321827,48.880292
