,id_mutation,date_mutation,prix,type_local,nb_dépendances,surface_reelle_bati,surface_carrez,nombre_pieces_principales,prix_au_m2_carrez,prix_au_m2_réel,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,longitude,latitude
195,2023-543727,2023-01-12,180000.0,Appartement,0.0,20.0,,1.0,,9000.0,22.0,AV DE SAINT OUEN,8718,75018.0,75118,Paris 18e Arrondissement,75,75118000AM0019,2.326738,48.888353
197,2023-543728,2023-01-05,288719.0,Appartement,1.0,27.0,27.14,2.0,10638.0,10693.0,53.0,RUE DUHESME,2974,75018.0,75118,Paris 18e Arrondissement,75,75118000BI0010,2.341497,48.892681
200,2023-543730,2023-01-10,240000.0,Appartement,1.0,21.0,21.2,1.0,11321.0,11429.0,5.0,RUE DE LA TOUR D AUVERGNE,5381,75009.0,75109,Paris 9e Arrondissement,75,75109000AZ0081,2.344842,48.878698
203,2023-543731,2023-01-04,533981.0,Appartement,1.0,65.0,,3.0,,8215.0,39.0,RUE DU BORREGO,1112,75020.0,75120,Paris 20e Arrondissement,75,75120000AW0020,2.401191,48.873553
206,2023-543732,2023-01-11,858000.0,Appartement,1.0,65.0,,3.0,,13200.0,45.0,RUE DE TURENNE,9506,75003.0,75103,Paris 3e Arrondissement,75,75103000AN0022,2.3642,48.857735
207,2023-543733,2023-01-03,569700.0,Appartement,1.0,44.0,,3.0,,12948.0,20.0,RUE DES TROIS FRERES,9462,75018.0,75118,Paris 18e Arrondissement,75,75118000BO0075,2.341324,48.884706
209,2023-543734,2023-01-06,201952.0,Appartement,0.0,18.0,,1.0,,11220.0,1.0,VLA ALBERT ROBIDA,0127,75019.0,75119,Paris 19e Arrondissement,75,75119000DZ0114,2.390756,48.878909
211,2023-543734,2023-01-06,314148.0,Appartement,1.0,28.0,,1.0,,11220.0,1.0,VLA ALBERT ROBIDA,0127,75019.0,75119,Paris 19e Arrondissement,75,75119000DZ0114,2.390756,48.878909
213,2023-543735,2023-01-04,568600.0,Appartement,1.0,47.0,,2.0,,12098.0,17.0,RUE LA GRANGE AUX BELLES,4293,75010.0,75110,Paris 10e Arrondissement,75,75110000BP0025,2.365484,48.8744
216,2023-543737,2023-01-04,802000.0,Appartement,1.0,45.0,62.89,2.0,12752.0,17822.0,1.0,RUE NOLLET,6803,75017.0,75117,Paris 17e Arrondissement,75,75117000CO0071,2.324384,48.884842
217,2023-543738,2023-01-05,363208.0,Appartement,1.0,41.0,,3.0,,8859.0,40.0,RUE DES MOINES,6401,75017.0,75117,Paris 17e Arrondissement,75,75117000DJ0017,2.320144,48.889191
219,2023-543739,2023-01-13,229000.0,Appartement,0.0,27.0,26.89,1.0,8516.0,8481.0,36.0,RUE DE BAGNOLET,0626,75020.0,75120,Paris 20e Arrondissement,75,75120000CV0120,2.398048,48.856727
314,2023-543743,2023-01-02,895000.0,Appartement,1.0,89.0,,3.0,,10056.0,5.0,RUE HELENE,4523,75017.0,75117,Paris 17e Arrondissement,75,75117000CN0066,2.325415,48.886369
318,2023-543745,2023-01-09,1050000.0,Appartement,1.0,80.0,,4.0,,13125.0,35.0,BD DE MAGENTA,5907,75010.0,75110,Paris 10e Arrondissement,75,75110000AZ0034,2.359598,48.871799
323,2023-543747,2023-01-16,1739500.0,Appartement,2.0,129.0,137.39,5.0,12661.0,13484.0,173.0,BD PEREIRE,7258,75017.0,75117,Paris 17e Arrondissement,75,75117000AN0003,2.292273,48.881907
325,2023-543748,2023-01-16,287600.0,Appartement,0.0,25.0,24.06,1.0,11953.0,11504.0,71.0,RUE DE DUNKERQUE,2990,75009.0,75109,Paris 9e Arrondissement,75,75109000BD0057,2.347274,48.881589
328,2023-543749,2023-01-11,853660.0,Appartement,1.0,82.0,,3.0,,10410.0,7.0,RUE DE VEZELAY,9723,75008.0,75108,Paris 8e Arrondissement,75,75108000CH0016,2.313994,48.87809
329,2023-543750,2023-01-05,3630000.0,Appartement,0.0,153.0,152.61,5.0,23786.0,23725.0,36.0,RUE VIEILLE DU TEMPLE,9783,75004.0,75104,Paris 4e Arrondissement,75,75104000AJ0076,2.358042,48.857595
334,2023-543753,2023-01-04,815000.0,Appartement,0.0,69.0,,3.0,,11812.0,19.0,AV HOCHE,4645,75008.0,75108,Paris 8e Arrondissement,75,75108000BC0004,2.302924,48.876617
335,2023-543754,2023-01-13,261250.0,Appartement,0.0,24.0,24.93,1.0,10479.0,10885.0,58.0,RUE DE ROCHECHOUART,8289,75009.0,75109,Paris 9e Arrondissement,75,75109000BD0109,2.347101,48.880469
336,2023-543755,2023-01-13,405000.0,Appartement,1.0,45.0,41.71,2.0,9710.0,9000.0,61.0,RUE DE ROCHECHOUART,8289,75009.0,75109,Paris 9e Arrondissement,75,75109000BD0036,2.345859,48.880564
340,2023-543756,2023-01-06,1045000.0,Appartement,2.0,95.0,91.03,4.0,11480.0,11000.0,4.0,SQ PETRELLE,7360,75009.0,75109,Paris 9e Arrondissement,75,75109000BD0085,2.34924,48.880788
341,2023-543757,2023-01-09,579000.0,Appartement,1.0,57.0,,3.0,,10158.0,75.0,BD BARBES,0662,75018.0,75118,Paris 18e Arrondissement,75,75118000BV0098,2.349162,48.891187
344,2023-543758,2023-01-06,126000.0,Appartement,1.0,17.0,15.74,1.0,8005.0,7412.0,30.0,RUE ETEX,3383,75018.0,75118,Paris 18e Arrondissement,75,75118000AL0004,2.327667,48.891071
